sku,first_sale_month,censored,source
2R-49NC-R697,2024-07,True,first-sale proxy
5904569253554,2026-02,False,first-sale proxy
5904569253561,2026-01,False,first-sale proxy
5904569253578,2026-02,False,first-sale proxy
98-VX35-DC63-2er,2024-09,False,first-sale proxy
98-VX35-DC63-Neu,2024-07,True,first-sale proxy
9G-B3KH-DDA0-2er,2024-07,True,first-sale proxy
9G-B3KH-DDA0-Neu,2024-07,True,first-sale proxy
A0-22PS-COWR,2024-10,False,first-sale proxy
Active_Lifestyle_Set_3,2026-06,False,first-sale proxy
Agility_Set_3,2025-12,False,first-sale proxy
Amazon.Found.B07ZQHMLQY,2024-12,False,first-sale proxy
Amazon.Found.B0B2PWX7P9,2024-12,False,first-sale proxy
BJ-E223-8EKW,2024-07,True,first-sale proxy
Beauty_Set_3,2025-12,False,first-sale proxy
Beauty_Set_3-0,2026-07,False,first-sale proxy
CP-DQMG-RVN9,2024-07,True,first-sale proxy
CW-BID2-NFIP,2024-10,False,first-sale proxy
CW-KVIN-V39Y,2024-07,True,first-sale proxy
Detox_Set_3,2025-12,False,first-sale proxy
Digestion_Health_Set_3,2026-02,False,first-sale proxy
Dreamcatcher_Set_3,2025-12,False,first-sale proxy
Eisen-02-2025,2025-02,False,first-sale proxy
Eisen-Feb-25,2025-02,False,first-sale proxy
Emotional_Balance_Set_3,2025-12,False,first-sale proxy
FH-L1DD-WJN8,2024-10,False,first-sale proxy
FW-WAIL-UBVC-Neu,2024-07,True,first-sale proxy
General_Health_Set_3,2026-01,False,first-sale proxy
Hormonal_Blanace_Set_3,2026-01,False,first-sale proxy
Immun-Intense-1er,2024-07,True,first-sale proxy
Immune_System_Set_3,2025-12,False,first-sale proxy
KO-0JFH-PXEC,2024-07,True,first-sale proxy
Kids Complete zuckerfrei-alt,2025-10,False,first-sale proxy
MW-NLU9-BEWZ,2024-07,True,first-sale proxy
Menopause_Set,2025-12,False,first-sale proxy
Mental_Focus_Set_3,2026-06,False,first-sale proxy
NB-49AE-8MWZ,2025-01,False,first-sale proxy
NX-CVPF-VCEZ,2024-07,True,first-sale proxy
OD-MZWV-JBYL,2025-07,False,first-sale proxy
OD-MZWV-JBYL-Neu,2024-07,True,first-sale proxy
OD-OAK8-N5TW-Neu,2024-07,True,first-sale proxy
Performance_Push_Set_3,2025-12,False,first-sale proxy
Regeneration_Set_3,2026-02,False,first-sale proxy
SKU-WT-KC2-PP,2024-11,False,first-sale proxy
SKU-WT-KMM,2024-08,False,first-sale proxy
SKU-WT-LZ,2024-08,False,first-sale proxy
SKU-WT-SP,2024-09,False,first-sale proxy
SKU-WT-Ueberraschung,2024-08,False,first-sale proxy
SKU-WT-Vitamindose,2024-08,False,first-sale proxy
SKU-WT-WB12,2024-11,False,first-sale proxy
SKU-WT-WD3,2024-10,False,first-sale proxy
SKU-WT-WEBZ,2024-07,True,first-sale proxy
SKU-WT-WEBz-PP,2024-07,True,first-sale proxy
SKU-WT-WEGZ,2024-09,False,first-sale proxy
SKU-WT-WIG,2024-07,True,first-sale proxy
SKU-WT-WIG-PP,2024-09,False,first-sale proxy
SKU-WT-WKC,2024-07,True,first-sale proxy
SKU-WT-WKC-BIO360,2024-07,True,first-sale proxy
SKU-WT-WKC-PP,2024-09,False,first-sale proxy
SKU-WT-WKCZ,2024-07,True,first-sale proxy
SKU-WT-WKCZ-BIO360,2024-07,True,first-sale proxy
SKU-WT-WKCZ-PP,2024-09,False,first-sale proxy
SKU-WT-WKMz,2024-09,False,first-sale proxy
SKU-WT-WKPz,2025-11,False,first-sale proxy
SKU-WT-WMGz,2026-02,False,first-sale proxy
SKU-WT-WO3,2026-04,False,first-sale proxy
SKU-WT-WO3Z,2024-07,True,first-sale proxy
SKU-WT-WSEZ,2024-07,True,first-sale proxy
SKU-WT-WTCZ,2024-07,True,first-sale proxy
SKU-WT-WVCZ,2024-07,True,first-sale proxy
SKU-WT-WVD,2024-07,True,first-sale proxy
SKU-WT-WVD-PP,2024-07,True,first-sale proxy
Sunkissed-Set,2026-06,False,first-sale proxy
TU-QNYD-JRRX,2024-07,True,first-sale proxy
U1-6CTS-AHGW-Neu,2024-07,True,first-sale proxy
VI-ZU99-SZ0B,2024-07,True,first-sale proxy
VV-ALO-06,2024-07,True,first-sale proxy
VV-VITA-02,2024-07,True,first-sale proxy
VV-VITA-02-V,2024-07,True,first-sale proxy
VV-VITA-101,2024-07,True,first-sale proxy
VV-VITA-102,2024-07,True,first-sale proxy
VV-VITA-104,2024-07,True,first-sale proxy
VV-VITA-105,2024-07,True,first-sale proxy
VV-VITA-106,2024-07,True,first-sale proxy
VV-VITA-107,2024-07,True,first-sale proxy
VV-VITA-109,2024-07,True,first-sale proxy
VV-VITA-111,2024-07,True,first-sale proxy
VV-VITA-115,2024-07,True,first-sale proxy
VV-VITA-116,2024-07,True,first-sale proxy
VV-VITA-119,2024-07,True,first-sale proxy
VV-VITA-121,2024-07,True,first-sale proxy
VV-VITA-122,2024-07,True,first-sale proxy
VV-VITA-122-V,2025-10,False,first-sale proxy
VV-VITA-124,2024-07,True,first-sale proxy
VV-VITA-127,2024-07,True,first-sale proxy
VV-VITA-129,2024-07,True,first-sale proxy
VV-VITA-136,2024-07,True,first-sale proxy
VV-VITA-142,2024-07,True,first-sale proxy
VV-VITA-143,2024-07,True,first-sale proxy
VV-VITA-146,2024-07,True,first-sale proxy
VV-VITA-151,2024-07,True,first-sale proxy
VV-VITA-153,2024-07,True,first-sale proxy
VV-VITA-155,2024-07,True,first-sale proxy
VV-VITA-157,2024-07,True,first-sale proxy
VV-VITA-158,2024-07,True,first-sale proxy
