brand,channel,sku,recent_ad_spend,recent_units,product,wasted_ad_spend_l6m,oos_months_l6m,fba_available,fba_incoming,sales_velocity,days_of_inventory,oos_risk,units_30d,snapshot,out_now,low_stock,advertising_while_out_now,advertising_while_low,review_month
Jasnum,Amazon,5904569253554,176.15,33.0,Jasnum All-in-One | Integratore Menopausa Com,0.0,0,551.0,0.0,0.5608,1125.218,False,15.0,2026-07-09,False,False,False,False,2026-06
Jasnum,Amazon,5904569253561,225.66,8.0,Jasnum Mood | Integratore Menopausa per il Be,0.0,0,99.0,0.0,0.2838,355.8971,False,9.0,2026-07-09,False,False,False,False,2026-06
Jasnum,Amazon,5904569253578,147.16,5.0,Jasnum Line | Integratore Metabolismo Menopau,0.0,0,545.0,0.0,0.0334,23010.7871,False,4.0,2026-07-09,False,False,False,False,2026-06
Jasnum,Amazon,VV-VITA-294,0.0,,,0.0,0,,,,,False,,,True,False,False,False,2026-06
Vegavero,Amazon,2R-49NC-R697,7108.72,4355.0,"MSM Vegavero® Poudre | 1 Kg Méthylsulfonylméthane Pur à 99,9% | Sans Additifs & VEGAN | Formation de Collagène | Testé en Laboratoire | Format Sachet ou Boîte",0.0,0,9690.0,67.0,129.4348,73.9625,False,4077.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,Amazon.Found.B07ZQHMLQY,0.0,0.0,ASHWAGANDHA BIO Pura Vegavero® | 670 mg per capsula | con il 2% di Withanolidi | SENZA ADDITIVI | Polvere di Withania Somnifera | Premium Organic Ashwaganda | 180 capsule | Vegan,0.0,0,,,,,False,,,True,False,False,False,2026-06
Vegavero,Amazon,BJ-E223-8EKW,3922.89,1420.0,"BIO Moringa Oleifera Vegavero | Dosis Alta: 1800 mg | 270 Cápsulas | SUPERFOOD: Proteínas, Vitaminas, Minerales y Omega 3 | Antioxidante | Sin Aditivos | Vegana | Superalimentos",0.0,0,12309.0,0.0,31.4334,132.1029,False,1050.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,CP-DQMG-RVN9,440.76,308.0,Igname Selvatico Vegavero® | 1000 mg di estratto di Mexican Wild Yam | con 20% di Diosgenina e Zinco | 120 capsule | No OGM | Vegan,0.0,0,298.0,86.0,8.6747,38.7335,False,295.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,CW-KVIN-V39Y,611.3199999999999,424.0,Vegavero Pure D-Mannose Powder 250 g | 4 Months’ Supply | 2000 mg per Day | NO Additives | 100% Naturally Sourced | Urinary Tract Infection | Vegan,0.0,0,49.0,1.0,8.6215,3.0157,True,242.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,NX-CVPF-VCEZ,1558.23,556.0,EXTRAIT de Reishi Vegavero® | 1950 mg (Extract 14:1) | 120 Gélules | 40% Polysaccharides + 20% Bêta-glucane | Immunité + Énergie | VEGAN,0.0,0,1314.0,0.0,14.1681,47.2389,False,458.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,TU-QNYD-JRRX,2403.4199999999996,949.0,"Vegavero Tribulus Terrestris 10,800 mg | High Strength Extract | 1620 mg Saponins per Serving | NO Additives, Lab-Tested | Stamina & Strength Support for Men & Women | 120 Capsules | Vegan",0.0,0,537.0,600.0,35.9909,17.5044,True,968.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VI-ZU99-SZ0B,512.83,318.0,L-Triptófano 500mg Puro* Vegavero | El Único Sin Aditivos | Para 4 meses | Estrés + Insomnio + Cansancio | Alta dosificación | 120 Cápsulas,0.0,0,709.0,0.0,10.8856,67.245,False,316.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-ALO-06,2422.45,722.0,"MSM Vegavero® Poudre | 1 Kg Méthylsulfonylméthane Pur à 99,9% | Sans Additifs & VEGAN | Formation de Collagène | Testé en Laboratoire | Format Sachet ou Boîte",0.0,0,754.0,252.0,14.6869,41.634,False,519.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-02,927.03,639.0,Cardo Mariano 35000 mg Vegavero | MAS ALTA DOSIS | Con 80% de Silimarina & 30% de Silibina | Liver Detox y Higado Graso | SIN ADITIVOS | Milk Thistle | Testado en Laboratorio | 120 Cápsulas,0.0,4,244.0,170.0,20.6266,12.9444,True,635.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-02-V,0.0,,,0.0,0,,,,,False,,,True,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-101,7009.889999999999,2359.0,Vegavero Premium Rhodiola Rosea 1200 mg | 3% Rosavins & 1% Salidroside | 120 Capsules | Herbal Adaptogenic Supplement | Rhodiolife® | NO Additives | Vegan,0.0,0,507.0,464.0,55.0794,6.3,True,1886.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-102,1298.56,508.0,Ginkgo Biloba | Extra Fort : 6000mg | Mémoire + Circulation Sanguine | 180 Gélules | Unique : 24% Glycosides de Flavone + 6% Lactones Terpéniques | Vegan & Sans Additifs | Vegavero®,0.0,0,151.0,288.0,13.2176,13.4669,False,406.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-104,650.48,276.0,Echinacea Vegavero® | Extrait Pur : 725 mg | Unique : Avec 4% Polyphenol | 4 MOIS | Systeme Immunitaire + Antioxydant Puissant | Sans Additifs | VEGAN,3.53,1,493.0,0.0,8.1176,66.1527,False,261.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-105,2403.7,661.0,PANAX GINSENG Vegavero® | 4800 mg | Rosso e Coreano | con 120 mg di Ginsenosidi | Contro Stanchezza Fisica e Mentale | 120 capsule | Vegan,0.0,0,143.0,720.0,21.6018,8.0549,False,644.0,2026-07-09,False,True,False,True,2026-06
