brand,channel,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,incubating,review_month,bsr,bsr_month,country_verdicts,n_markets,n_markets_action,manual
Jasnum,Amazon,5904569253554,"Jasnum All-in-One | Integratore Menopausa Completo | Con Salvia, Foglie di Olivo, Enotera e Trifoglio Rosso | Vitamine D3, K2, B6 e B9 | 120 Capsule Vegane – Scorta per 2 Mesi",actual,5,2026-06,2978.12,2121.38,5099.5,2400.32,1519.1,-2417.35,3936.48,,,5099.5,-2417.35,1974.73,4,5,-47.403667026179036,,47.06971271693304,29.789195019119518,,40.38597516710819,2026-02,False,first-sale proxy,4.0,3,3,3-3,18.030858935974116,Defend,"new: launched 2026-02 (4m ago); would be Exit but shielded while ramping; TTM sales EUR 5,100 < EUR 15,000 floor (run-rate EUR 11,912/yr) - discontinue",True,2026-06,34094.0,2026-07,DE:No data|IT:Defend,2,0,False
Jasnum,Amazon,5904569253561,"Jasnum Mood | Integratore Menopausa per il Benessere Emotivo | Con Zafferano, Vitamine B6 e B12 | Favorisce l'Umore, il Relax e Aiuta a Combattere la Stanchezza | 30 Capsule",actual,6,2026-06,1012.9599999999999,926.47,1939.43,911.68,563.55,-2287.4,2850.9500000000003,,,1939.43,-2287.4,736.3299999999999,5,6,-117.94186951836365,,47.00762595195495,29.057506586986896,,9.33543449868856,2026-01,False,first-sale proxy,5.0,3,3,3-3,18.02891301258617,Defend,"new: launched 2026-01 (5m ago); would be Exit but shielded while ramping; TTM sales EUR 1,939 < EUR 15,000 floor (run-rate EUR 4,052/yr) - discontinue",True,2026-06,64610.0,2026-07,DE:No data|IT:Defend,2,0,False
Jasnum,Amazon,5904569253578,"Jasnum Line | Integratore Metabolismo Menopausa | Maca Nera, L-Carnitina & Tè Verde | Zinco, Cromo, Vitamine B6 & B12 | 120 Capsule Vegane – 2 Mesi di Scorta",actual,5,2026-06,948.01,1150.1,2098.11,999.42,627.54,-2540.24,3167.7799999999997,,,2098.11,-2540.24,424.41,5,5,-121.0727750213287,,47.634299440925396,29.909775941204224,,-17.571515520389525,2026-02,False,first-sale proxy,4.0,3,3,3-3,18.04855421307748,Defend,"new: launched 2026-02 (4m ago); would be Exit but shielded while ramping; TTM sales EUR 2,098 < EUR 15,000 floor (run-rate EUR 3,792/yr) - discontinue",True,2026-06,63838.0,2026-07,DE:No data|IT:Defend,2,0,False
Jasnum,Amazon,VV-VITA-294,"Vegavero BIOLOGISCH artisjokextract + BIOLOGISCH zwarte radijs | Uittreksels uit Frankrijk | 2,5% cynarine uit artisjok | Laboratoriumgetest | Vegan",actual,17,2025-11,,0.0,0.0,0.0,0.0,0.0,0.0,171.84,1413.7,1413.7,171.84,,0,1,,12.15533705878192,,,,,2024-07,True,first-sale proxy,23.0,3,,,23.881413642215456,No data,no margin data for this market,False,2026-06,127979.0,2025-12,DE:No data|GB:No data,2,0,False
Vegavero,Amazon,2R-49NC-R697,"MSM Vegavero® Poudre | 1 Kg Méthylsulfonylméthane Pur à 99,9% | Sans Additifs & VEGAN | Formation de Collagène | Testé en Laboratoire | Format Sachet ou Boîte",actual,12,2026-06,197434.97,229343.23,426778.2,223107.82,66196.71,35091.19,31105.46,52708.36,444121.59,870899.79,87799.55,135403.25,3,6,8.222348283019143,11.868002183816373,52.27722971791905,15.510799286374047,-3.64565390079723,-13.912885067503414,2024-07,True,first-sale proxy,23.0,1,3,3-1,21.233774414856118,Fix,CM3% 8.2 vs target 21.2,False,2026-06,6774.0,2026-07,BE:Scale|DE:Fix|ES:Defend|FR:Defend|GB:Defend|IE:Scale|IT:Scale|NL:Scale,8,1,False
Vegavero,Amazon,Amazon.Found.B07ZQHMLQY,ASHWAGANDHA BIO Pura Vegavero® | 670 mg per capsula | con il 2% di Withanolidi | SENZA ADDITIVI | Polvere di Withania Somnifera | Premium Organic Ashwaganda | 180 capsule | Vegan,actual,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,6,,,,,,,2024-12,False,first-sale proxy,18.0,3,,,16.555600000000002,No data,fewer than 3 months with sales,False,2026-06,9296.0,2026-06,IT:No data,1,0,False
Vegavero,Amazon,BJ-E223-8EKW,"BIO Moringa Oleifera Vegavero | Dosis Alta: 1800 mg | 270 Cápsulas | SUPERFOOD: Proteínas, Vitaminas, Minerales y Omega 3 | Antioxidante | Sin Aditivos | Vegana | Superalimentos",actual,12,2026-06,93238.41,90969.25,184207.66,106078.4,50072.130000000005,32431.18,17641.17,94613.06,267937.11,452144.77,127044.24,69853.04,1,6,17.605771660092746,35.31166698035968,57.58631318589031,27.182436387281616,-17.705895320266936,2.4944253140484323,2024-07,True,first-sale proxy,23.0,1,2,2-1,21.63507250957917,Defend,"between target and broken - hold, re-check next month",False,2026-06,7181.0,2026-07,DE:Defend|ES:Scale|FR:Defend|GB:Fix|IE:Defend|IT:Scale|NL:Fix,7,2,False
Vegavero,Amazon,CP-DQMG-RVN9,Igname Selvatico Vegavero® | 1000 mg di estratto di Mexican Wild Yam | con 20% di Diosgenina e Zinco | 120 capsule | No OGM | Vegan,actual,12,2026-06,17598.89,20318.07,37916.96,22899.19,10689.87,8379.66,2310.25,13676.58,46016.6,83933.56,22056.24,11994.1,0,6,22.100031226132053,29.72097025855887,60.39300091568522,28.192845628974478,-7.6209390324268185,-13.383062466070845,2024-07,True,first-sale proxy,23.0,2,1,1-2,19.589448294103097,Defend,"CM3% 22.1 >= target, momentum negative - hold",False,2026-06,25448.0,2026-07,DE:Defend|ES:Defend|FR:Harvest|GB:No data|IE:Scale|IT:Defend|NL:Defend,7,0,False
Vegavero,Amazon,CW-KVIN-V39Y,Vegavero Pure D-Mannose Powder 250 g | 4 Months’ Supply | 2000 mg per Day | NO Additives | 100% Naturally Sourced | Urinary Tract Infection | Vegan,actual,12,2026-06,39111.64,43103.67,82215.31,59097.26,35974.44,32601.49,3373.17,38395.36,85584.49,167799.8,70996.85,26047.41,0,6,39.65379440885159,44.862521234863934,71.88108881423668,43.75637578937548,-5.208726826012345,-9.26146195903968,2024-07,True,first-sale proxy,23.0,1,1,1-1,22.71227116884525,Scale,"CM3% 39.7 >= target, sales -9% 3m",False,2026-06,22625.0,2026-07,DE:Scale|ES:Scale|FR:Defend|GB:Defend|IE:Scale|IT:Defend|NL:Defend,7,0,False
Vegavero,Amazon,NX-CVPF-VCEZ,EXTRAIT de Reishi Vegavero® | 1950 mg (Extract 14:1) | 120 Gélules | 40% Polysaccharides + 20% Bêta-glucane | Immunité + Énergie | VEGAN,actual,12,2026-06,38740.76,41942.64,80683.4,39979.08,14477.55,7884.97,6592.62,19152.55,101334.6,182018.0,27037.52,25271.28,3,6,9.772728962834982,18.900306509326526,49.550564304429415,17.9436538370966,-9.127577546491544,-7.633949603553799,2024-07,True,first-sale proxy,23.0,1,3,3-1,19.126079306538756,Fix,CM3% 9.8 vs target 19.1,False,2026-06,20031.0,2026-07,BE:Defend|DE:Fix|ES:Fix|FR:Fix|GB:Fix|IE:Scale|IT:Defend|NL:No data,8,4,False
