brand,channel,country,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,review_month,manual
Jasnum,Amazon,DE,5904569253554,Jasnum All-in-One | Integratore Menopausa Com,none,5,2026-06,1390.08,1010.24,2400.32,,,,,,,2400.32,,924.45,0,0,,,,,,37.59898637947418,2026-02,False,first-sale proxy,4.0,3,,,19.689799999999998,No data,no margin data for this market,2026-06,False
Jasnum,Amazon,DE,5904569253561,Jasnum Mood | Integratore Menopausa per il Be,none,6,2026-06,469.82,441.86,911.68,,,,,,,911.68,,338.09,0,0,,,,,,6.3277961345222415,2026-01,False,first-sale proxy,5.0,3,,,19.689799999999998,No data,no margin data for this market,2026-06,False
Jasnum,Amazon,DE,5904569253578,Jasnum Line | Integratore Metabolismo Menopau,none,5,2026-06,451.72,547.7,999.42,,,,,,,999.42,,202.2,0,0,,,,,,-17.52419207595399,2026-02,False,first-sale proxy,4.0,3,,,19.689799999999998,No data,no margin data for this market,2026-06,False
Jasnum,Amazon,DE,VV-VITA-294,Artichaut + Radis Noir BIO | Origine FRANCE |,none,17,2025-11,,0.0,0.0,,,,,,643.19,643.19,,,0,0,,,,,,,2024-07,True,first-sale proxy,23.0,3,,,19.689799999999998,No data,no margin data for this market,2026-06,False
Jasnum,Amazon,GB,VV-VITA-294,"Vegavero BIOLOGISCH artisjokextract + BIOLOGISCH zwarte radijs | Uittreksels uit Frankrijk | 2,5% cynarine uit artisjok | Laboratoriumgetest | Vegan",actual,5,2025-11,,0.0,0.0,0.0,0.0,0.0,0.0,171.84,770.51,770.51,171.84,,0,1,,22.302111588428446,,,,,2024-07,True,first-sale proxy,23.0,3,,,27.380399999999998,No data,no margin data for this market,2026-06,False
Jasnum,Amazon,IT,5904569253554,"Jasnum All-in-One | Integratore Menopausa Completo | Con Salvia, Foglie di Olivo, Enotera e Trifoglio Rosso | Vitamine D3, K2, B6 e B9 | 120 Capsule Vegane – Scorta per 2 Mesi",actual,5,2026-06,1588.04,1111.1399999999999,2699.18,2400.32,1519.1,-2417.35,-3936.48,,,2699.18,-2417.35,1050.28,4,5,-89.55868078453456,,88.92774842730016,56.28005542423995,,42.919884083013855,2026-02,False,first-sale proxy,4.0,3,3,3-3,16.555600000000002,Incubate,launched 2026-02 (4m ago),2026-06,False
Jasnum,Amazon,IT,5904569253561,"Jasnum Mood | Integratore Menopausa per il Benessere Emotivo | Con Zafferano, Vitamine B6 e B12 | Favorisce l'Umore, il Relax e Aiuta a Combattere la Stanchezza | 30 Capsule",actual,6,2026-06,543.14,484.61,1027.75,911.68,563.55,-2287.4,-2850.9500000000003,,,1027.75,-2287.4,398.24,5,6,-222.56385307711022,,88.70639747020189,54.833373874969595,,12.077753244877318,2026-01,False,first-sale proxy,5.0,3,3,3-3,16.555600000000002,Incubate,launched 2026-01 (5m ago),2026-06,False
Jasnum,Amazon,IT,5904569253578,"Jasnum Line | Integratore Metabolismo Menopausa | Maca Nera, L-Carnitina & Tè Verde | Zinco, Cromo, Vitamine B6 & B12 | 120 Capsule Vegane – 2 Mesi di Scorta",actual,5,2026-06,496.28999999999996,602.4,1098.69,999.42,627.54,-2540.24,-3167.7799999999997,,,1098.69,-2540.24,222.21,5,5,-231.206254721532,,90.96469431777844,57.117112197253086,,-17.614541832669325,2026-02,False,first-sale proxy,4.0,3,3,3-3,16.555600000000002,Incubate,launched 2026-02 (4m ago),2026-06,False
Vegavero,Amazon,BE,2R-49NC-R697,"MSM Vegavero® Poudre | 1 Kg Méthylsulfonylméthane Pur à 99,9% | Sans Additifs & VEGAN | Formation de Collagène | Testé en Laboratoire | Format Sachet ou Boîte",actual,12,2026-06,337.79999999999995,358.8,696.6,852.63,643.26,643.26,0.0,699.98,628.8399999999999,1325.44,1343.24,218.2,0,6,92.34280792420327,111.31289358183322,122.39879414298018,92.34280792420327,-18.97008565762995,-5.852842809364564,2024-07,True,first-sale proxy,23.0,1,1,1-1,24.30494285714286,Defend,"top seller at target margin, momentum flat",2026-06,False
Vegavero,Amazon,BE,NX-CVPF-VCEZ,EXTRAIT de Reishi Vegavero® | 1950 mg (Extract 14:1) | 120 Gélules | 40% Polysaccharides + 20% Bêta-glucane | Immunité + Énergie | VEGAN,actual,10,2026-06,253.55,357.92,611.47,496.43,333.5,333.5,0.0,375.45,609.46,1220.93,708.95,253.55,0,5,54.54069700884753,61.603714763889336,81.18632148756275,54.54069700884753,-7.063017755041805,-29.16014751899866,2024-07,True,first-sale proxy,23.0,1,3,3-1,24.30494285714286,Defend,"top seller at target margin, momentum negative",2026-06,False
Vegavero,Amazon,BE,VV-ALO-06,"MSM Vegavero® Poudre | 1 Kg Méthylsulfonylméthane Pur à 99,9% | Sans Additifs & VEGAN | Formation de Collagène | Testé en Laboratoire | Format Sachet ou Boîte",actual,12,2026-06,387.08,590.47,977.55,604.27,193.86999999999998,193.86999999999998,0.0,228.79,813.56,1791.11,422.65999999999997,240.37,0,6,19.832233645337833,28.122080731599393,61.81474093396757,19.832233645337833,-8.28984708626156,-34.44544176672821,2024-07,True,first-sale proxy,23.0,1,3,3-1,24.30494285714286,Watch,between target and broken - no trigger fired,2026-06,False
Vegavero,Amazon,BE,VV-VITA-101,Vegavero Premium Rhodiola Rosea 1200 mg | 3% Rosavins & 1% Salidroside | 120 Capsules | Herbal Adaptogenic Supplement | Rhodiolife® | NO Additives | Vegan,actual,2,2026-06,589.87,0.0,589.87,548.65,363.14,363.14,0.0,391.0,0.0,589.87,754.14,589.87,0,5,61.56271720887653,,93.01201959753843,61.56271720887653,,,2024-07,True,first-sale proxy,23.0,1,2,2-1,24.30494285714286,No data,fewer than 3 months with sales,2026-06,False
Vegavero,Amazon,BE,VV-VITA-116,Vegavero Organic Iodine Supplement | NO Additives | 100% Natural Organic Scottish Sea Kelp | 150 mcg Pure | 180 Tablets | Vegan,actual,12,2026-06,567.94,249.89999999999998,817.8399999999999,619.3199999999999,368.83,368.83,0.0,323.11,649.11,1466.95,691.9399999999999,492.97,0,6,45.09806319084418,49.77738749980743,75.72630343343441,45.09806319084418,-4.679324308963253,127.26690676270513,2024-07,True,first-sale proxy,23.0,1,3,3-1,24.30494285714286,Scale,"CM3% 45.1 >= target, sales +127% 3m",2026-06,False
Vegavero,Amazon,BE,VV-VITA-121,"Wechseljahre Vegavero | Meno Balance für Menopause | wildyamswurzel, Nachtkerze, Hopfen, Salbei, Kamille | 100% Natürlich & Hormonfrei | Vegan",actual,1,2025-07,0.0,0.0,0.0,57.76,57.76,57.76,0.0,248.76,151.66,151.66,306.52,0.0,0,4,,164.02479229856257,,,,,2024-07,True,first-sale proxy,23.0,2,,,24.30494285714286,No data,fewer than 3 months with sales,2026-06,False
Vegavero,Amazon,BE,VV-VITA-122,"Vegavero Immunsystem Komplex – mit Echinacea, Acerola Vitamin C, Vitamin D3, Ingwer, Zink & Selen – vegane Immunformel ohne Zusatzstoffe – 120 Kapseln hochdosiert",actual,0,,0.0,0.0,0.0,62.4,62.4,62.4,0.0,96.0,0.0,0.0,158.4,0.0,0,5,,,,,,,2024-07,True,first-sale proxy,23.0,2,,,24.30494285714286,No data,fewer than 3 months with sales,2026-06,False
Vegavero,Amazon,BE,VV-VITA-153,Ashwagandha Orgánica Vegavero | 2010 mg | Con Withanólidos | Insomnio + Estrés + Relajante | Probado en laboratorio | 180 Capsulas | Sin Aditivos & Vegano,actual,0,,0.0,0.0,0.0,48.69,48.69,48.69,0.0,102.79,0.0,0.0,151.48000000000002,0.0,0,5,,,,,,,2024-07,True,first-sale proxy,23.0,2,,,24.30494285714286,No data,fewer than 3 months with sales,2026-06,False
