month,account,spend
2025-10,Vegavero DE,2759.9465
2025-10,Vegavero IT,740.5773
2025-10,Vegavero ES,96.3967
2025-10,Vegavero FR,102.0593
2025-11,Vegavero DE,7839.6071
2025-11,Vegavero IT,4924.0575
2025-11,Vegavero FR,2352.3852
2025-11,Vegavero ES,945.9695
2025-12,Vegavero DE,12167.8447
2025-12,Vegavero IT,5883.1497
2025-12,Vegavero ES,1541.3906
2025-12,Vegavero FR,1773.2662
2026-01,Vegavero DE,9363.7158
2026-01,Vegavero IT,3595.6899
2026-01,Vegavero ES,1727.708
2026-01,Vegavero FR,1012.1202
2026-02,Vegavero DE,11815.0993
2026-02,Vegavero IT,9328.9975
2026-02,Vegavero ES,1721.3024
2026-02,Vegavero FR,2598.9947
2026-03,Vegavero DE,19639.436
2026-03,Vegavero IT,11661.8478
2026-03,Vegavero ES,3096.4438
2026-03,Vegavero FR,3776.4751
2026-04,Vegavero DE,16000.4004
2026-04,Vegavero IT,11304.7263
2026-04,Vegavero ES,4592.2791
2026-04,Vegavero FR,2905.36
2026-05,Vegavero DE,13486.3303
2026-05,Vegavero IT,14154.5835
2026-05,Vegavero ES,3766.0882
2026-05,Vegavero FR,3467.4593
2026-06,Vegavero DE,9500.3479
2026-06,Vegavero IT,15690.5773
2026-06,Vegavero ES,2973.7032
2026-06,Vegavero FR,2697.9847
