sku,asin,totalFbaAvailablePool,totalFbaIncomingPool,salesVelocity,daysOfInventory,projectedDaysOfInventory,oosRiskFlag,totalUnits30d
FW-WAIL-UBVC-Neu,B0C93Q4S2G,0,0,0,,,,0
VV-VITA-414,B0G549R7N1,48,0,0,,,,0
VV-VITA-266,B09JCNKXV5,210,0,0,,,,0
VV-VITA-115,B07B9FTCXV,0,0,0,,,,0
VV-VITA-343,B0CCJ9PLHV,0,0,0,,,,0
VV-VITA-230,B08XZMCR17,0,1700,0,,,,0
VV-VITA-412,B0G549XVKK,231,1,0,,,,0
VV-VITA-413,B0G54B45T6,0,144,0,,,,0
VV-VITA-357,B0CS6GFLRM,0,0,0.1246,0,0,False,8
VV-VITA-106,B076MKZHV4,0,540,0.3676,0,1469.059,False,4
VV-VITA-181,B089FYV2HT,0,0,3.1761,0.3148,0.3148,True,120
VV-VITA-93,B075FDD21R,0,0,1.6114,0.6206,0.6206,True,77
VV-VITA-310,B0BD85KJQV,0,0,5.9612,0.671,0.671,True,336
VV-VITA-204,B08JCV95Y3,0,0,5.1892,1.5417,1.5417,True,231
VV-VITA-333,B0C2QPSPS6,0,0,8.1837,1.7107,1.7107,True,312
VV-VITA-186,B08B8SJK6K,0,96,1.8768,2.6641,53.8144,False,48
VV-VITA-313,B0BD88S1FW,0,0,9.1844,2.8309,2.8309,True,341
VV-VITA-388,B0DQDRRFPF,4,0,7.5254,2.9234,2.9234,True,265
VV-VITA-159,B082XFTS6H,0,0,28.3389,2.9641,2.9641,True,879
VV-VITA-341,B0CCJWSS2P,0,0,8.3914,2.9792,2.9792,True,282
CW-KVIN-V39Y,B00XJE09CI,8,1,8.6215,3.0157,3.1317,True,242
VV-VITA-303,B0B2WSTP9W,0,0,3.6,3.0556,3.0556,True,294
VV-VITA-93,B075FDD21R,0,0,7.0467,3.6897,3.6897,True,224
VV-VITA-379,B0DFCRNY8W,1,180,2.7531,4.3587,69.7395,False,82
VV-VITA-215,B08NPB4GCD,0,0,2.3597,4.6617,4.6617,True,202
VV-VITA-265,B09JCN1WLC,0,0,0.6777,5.9027,5.9027,True,19
VV-VITA-188,B08DCY34MX,33,85,5.9038,6.2672,20.6648,True,194
VV-VITA-101,B075T9G9YS,228,464,55.0794,6.3,14.7242,True,1886
VV-VITA-389,B0DQDQCSRT,1,0,0.1513,6.6092,6.6092,True,14
VV-VITA-298,B0B2PSK2MC,71,360,13.6549,7.0304,33.3946,True,361
VV-VITA-109,B077QQ2XV8,0,0,7.2487,7.1737,7.1737,True,290
VV-VITA-351,B0CMV8JRKN,24,0,4.9595,7.8637,7.8637,True,143
VV-VITA-105,B076M64FW6,121,720,21.6018,8.0549,41.3854,False,644
VV-VITA-276,B09NRH4J1C,0,240,50.0926,8.1649,12.956,True,1873
VV-VITA-224,B08VX84KW4,0,120,0.1224,8.1672,988.2358,False,13
VV-VITA-379,B0DFCRNY8W,88,420,14.3003,8.1816,37.5516,False,446
VV-VITA-403,B0FLQQCMYH,35,0,4.6462,8.6092,8.6092,True,131
VV-VITA-49,B01FFWYDVO,10,0,1.4558,9.6169,9.6169,True,45
VV-VITA-346,B0CHSLDL5K,50,0,6.7495,9.6303,9.6303,True,210
VV-VITA-310,B0BD85KJQV,0,540,12.3022,9.6731,53.5678,False,322
VV-VITA-31,B01BNV0IUQ,74,0,8.3251,9.8497,9.8497,True,279
VV-VITA-247,B096W3WGCN,133,144,19.4634,10.1729,17.5714,True,602
VV-VITA-407,B0FQW6FYT9,58,75,6.7728,10.1877,21.2614,True,262
VV-VITA-314,B0BK8X47M5,1635,413,185.4027,10.426,12.6535,True,6206
VV-VITA-107,B076MBD6KQ,361,144,41.6789,10.8928,14.3478,True,1352
VV-VITA-121,B07DGFDLKP,114,180,14.6877,11.9147,24.1699,True,406
CW-KVIN-V39Y,B00XJE09CI,49,0,5.1851,12.5359,12.5359,True,156
VV-VITA-354,B0CPJFC9BP,221,340,22.9938,12.6556,27.4421,True,696
VV-VITA-341,B0CCJWSS2P,16,0,1.4918,12.7364,12.7364,True,54
VV-VITA-364,B0D22ZQTSC,780,142,75.8029,12.8227,14.696,True,2474
VV-VITA-02,B012W9GK4G,244,170,20.6266,12.9444,21.1862,True,635
VV-VITA-356,B0CS6HDRFW,21,0,1.6993,12.9463,12.9463,True,52
VV-VITA-336,B0C948KKRG,94,0,9.7417,13.1393,13.1393,True,224
VV-VITA-304,B0B6WCHGMK,349,696,30.377,13.2008,36.1128,False,870
VV-VITA-406,B0FLQR3V1R,0,0,0.5256,13.3175,13.3175,True,68
VV-VITA-286,B09TJXLQ4Z,367,255,32.7073,13.3303,21.1268,True,960
VV-VITA-368,B0D63B2G5N,25,40,2.166,13.3887,31.8558,True,56
VV-VITA-102,B075T82C1X,151,288,13.2176,13.4669,35.256,False,406
VV-VITA-374,B0D92MFDPB,64,80,5.0771,13.7874,29.5444,True,161
VV-VITA-142,B07NNVS8M4,225,0,20.381,14.2289,14.2289,True,673
VV-VITA-127,B07F1FKM3M,954,1008,75.6197,14.6919,28.0218,True,2405
VV-VITA-340,B0C94719Z8,121,0,9.5321,15.1068,15.1068,True,283
OD-OAK8-N5TW-Neu,B0C8Z557HT,174,200,13.3033,15.1842,30.2182,True,447
VV-VITA-311,B0BD81KP8K,350,0,28.1203,15.1848,15.1848,True,845
VV-VITA-49,B01FFWYDVO,148,0,10.2648,15.1976,15.1976,True,337
VV-VITA-265,B09JCN1WLC,53,0,4.5848,15.4859,15.4859,True,149
VV-VITA-90,B072VJ9FFZ,819,1155,56.3765,15.8577,36.3449,False,1961
VV-VITA-106,B076MKZHV4,0,60,2.1313,15.9529,44.105,False,27
VV-VITA-173,B087JHVV7T,191,580,15.8202,16.0555,52.7176,False,502
VV-VITA-94,B075FDQ6KJ,71,0,5.7876,16.069,16.069,True,169
VV-VITA-365,B0D47DZG2Q,129,200,8.879,16.1053,38.6303,False,261
VV-VITA-391,B0DXFV5SYV,285,0,19.7195,16.3797,16.3797,True,641
VV-VITA-317,B0BK8STFVG,355,961,24.309,16.4548,55.9876,False,795
VV-VITA-377,B0DFCQLLSY,335,420,23.2079,16.5461,34.6434,True,785
VV-VITA-389,B0DQDQCSRT,292,1,20.1503,16.8732,16.9228,True,564
TU-QNYD-JRRX,B00SBSJ16C,537,600,35.9909,17.5044,34.1753,True,968
VV-VITA-183,B089FZBMW9,85,60,4.679,19.8759,32.699,True,143
VV-VITA-155,B081TJ62WV,23,85,1.3637,20.5317,82.8602,False,43
VV-VITA-370-V,B0FLQRB13X,533,90,30.194,20.5339,23.5146,True,972
VV-VITA-207,B08JC9NN3X,448,120,24.2169,20.688,25.6432,True,725
VV-VITA-311,B0BD81KP8K,67,0,3.7032,20.7931,20.7931,True,126
VV-VITA-308,B0B6WGC16M,26,60,1.4333,20.9309,62.7926,False,34
VV-VITA-231,B08XZLYCZ5,1252,355,70.2829,20.9866,26.0376,True,2157
VV-VITA-403,B0FLQQCMYH,183,40,9.3169,21.0371,25.3304,True,445
VV-VITA-382,B0DGGVW1NH,106,52,5.976,21.0842,29.7856,True,173
VV-VITA-252,B096W5QCHX,191,60,10.1753,21.4244,27.321,True,289
VV-VITA-301,B0B2Q12FVY,146,0,7.5771,21.5122,21.5122,True,188
NB-49AE-8MWZ,B0DR9CLXV5,411,720,19.8445,21.8196,58.1017,False,658
VV-VITA-345,B0C6FHKNM7,351,85,17.9384,21.9083,26.6468,True,551
VV-VITA-237,B091Z4JQBD,930,269,46.005,22.1063,27.9535,True,1460
VV-VITA-183,B089FZBMW9,196,120,9.4084,22.6395,35.3941,False,268
OD-MZWV-JBYL-Neu,B0C93RMXRR,987,1300,44.7981,23.885,52.9041,False,1507
VV-VITA-385,B0DQDSMTPW,175,0,7.2976,24.2546,24.2546,True,241
VV-VITA-356,B0CS6HDRFW,0,0,2.9678,24.2601,24.2601,True,227
VV-VITA-257,B09C6FG128,682,107,30.2548,24.459,27.9956,True,977
VV-VITA-146,B07R5XPNMP,379,450,17.5369,24.4626,50.1228,False,538
VV-VITA-264,B09JCMLXP5,186,144,8.5743,24.4919,41.2863,False,281
VV-VITA-158,B081TDP6YF,190,288,8.0731,25.269,60.9429,False,279
VV-VITA-408,B0FQVZ3H2S,213,26,8.9424,25.273,28.1805,True,256
VV-VITA-276,B09NRH4J1C,492,0,21.5363,25.8633,25.8633,True,573
VV-VITA-174,B087JTHDN1,174,0,7.5132,25.9542,25.9542,True,241
VV-VITA-262,B09GD1YKWW,45,0,2.2441,26.2909,26.2909,True,71
