variant_id,sku
53059461579083,BJ-E223-8EKW
53059462299979,CP-DQMG-RVN9
53059463086411,CW-KVIN-V39Y
53059469148491,NX-CVPF-VCEZ
53059470721355,TU-QNYD-JRRX
53059473375563,VI-ZU99-SZ0B
53059473899851,VV-VITA-101
53059474555211,VV-VITA-102
53059475603787,VV-VITA-107
53059476422987,VV-VITA-109
53059478618443,VV-VITA-116
53059479273803,VV-VITA-119
53059480191307,VV-VITA-122
53059481403723,VV-VITA-124
53059483566411,VV-VITA-127
53059487629643,VV-VITA-129
53059539599691,VV-VITA-376
53059540746571,VV-VITA-326
53059541762379,VV-VITA-363
53059542745419,VV-VITA-365
53059543630155,VV-VITA-247
53059544547659,VV-VITA-207
53059546349899,VV-VITA-230
53059547169099,VV-VITA-310
53059548709195,VV-VITA-90
53059549561163,VV-VITA-297
53059550544203,VV-VITA-298
53059551232331,VV-VITA-356
53059551822155,VV-VITA-313
53059552608587,VV-VITA-378
53059553657163,VV-VITA-198
53059556081995,VV-VITA-377
53059557294411,VV-VITA-237
53059558768971,VV-VITA-346
53059560014155,VV-VITA-317
53059561226571,VV-VITA-343
53059562176843,VV-VITA-50
53059563422027,VV-VITA-111
53059564273995,VV-VITA-63
53059565388107,VV-VITA-367
53059566338379,VV-VITA-39
53059567616331,VV-VITA-204
53059568402763,VV-VITA-308
53059569254731,VV-VITA-303
53059569975627,VV-VITA-159
53059570532683,VV-VITA-362
53059572236619,VV-VITA-385
53059572990283,VV-VITA-151
53059573514571,VV-VITA-121
53059574071627,VV-VITA-386
53059574858059,VV-VITA-350
53059575644491,VV-VITA-304
53059576889675,VV-VITA-203
53059577512267,VV-VITA-379
53059578036555,VV-VITA-158
53059578822987,VV-VITA-197
53059579347275,VV-VITA-318
53059579838795,VV-VITA-57-V
53059579871563,VV-VITA-57-V2
53059580756299,VV-VITA-49
53059582624075,VV-VITA-366
53059583082827,VV-VITA-199
53059583770955,VV-VITA-373
53059584459083,VV-VITA-216
53059585835339,VV-VITA-327
53059586326859,VV-VITA-368
53059586916683,VV-VITA-355
53059587932491,VV-VITA-339
53059588882763,VV-VITA-136
53059589407051,VV-VITA-329
53059593634123,VV-VITA-86
53059594191179,VV-VITA-264
53059594781003,VV-VITA-243
53059595239755,VV-VITA-202
53059595960651,VV-VITA-46
53059596648779,VV-VITA-259
53059597205835,VV-VITA-231
53059598877003,VV-VITA-381
53059599499595,VV-VITA-311
53059600253259,VV-VITA-371
53059601334603,VV-VITA-170
53059603824971,VV-VITA-331
53059604316491,VV-VITA-174
53059604840779,VV-VITA-352
53059605299531,VV-VITA-223
53059605791051,VV-VITA-358
53059606151499,VV-VITA-206
53059607265611,VV-VITA-153
53059607691595,VV-VITA-344
53059608281419,VV-VITA-364
53059608871243,VV-VITA-250
53059609297227,VV-VITA-262
53059609723211,VV-VITA-222
53059611984203,VV-VITA-284
53059613196619,VV-VITA-319
53059614081355,VV-VITA-186
53059614703947,VV-VITA-88
53059615523147,VV-VITA-316
53059616309579,VV-VITA-351
53059616768331,VV-VITA-336
53059617816907,VV-VITA-349
53059618210123,VV-VITA-258
53059620274507,VV-VITA-369
53059620864331,VV-VITA-208
53059621454155,VV-VITA-215
53059622404427,VV-VITA-257
53059622928715,VV-VITA-173
53059623354699,VV-VITA-172
53059623682379,VV-VITA-354
53059624206667,VV-VITA-248
53059624665419,VV-VITA-190
53059625025867,VV-VITA-94
53059625845067,VV-VITA-374
53059626369355,VV-VITA-256
53059626926411,VV-VITA-155
53059627483467,VV-VITA-189
53059627909451,VV-VITA-287
53059628433739,VV-VITA-146
53059628826955,VV-VITA-188
53059629318475,VV-VITA-166
53059629646155,VV-VITA-338
53059630137675,VV-VITA-31
53059630760267,VV-VITA-380
53059631481163,VV-VITA-142
53059632136523,VV-VITA-361
53059632759115,VV-VITA-359
53059633250635,VV-VITA-183
53059633774923,VV-VITA-165
53059634364747,VV-VITA-337
53059634823499,VV-VITA-249
53059639542091,VV-VITA-286
53059639968075,VV-VITA-345
53059641147723,VV-VITA-252
53059641639243,VV-VITA-225
53059642163531,VV-VITA-375
53059642556747,VV-VITA-295
53059643933003,VV-VITA-168
53059644490059,VV-VITA-357
53059644916043,VV-VITA-382
53059645473099,VV-VITA-224
53059646587211,VV-VITA-276
53059647078731,VV-VITA-171
53059647766859,VV-VITA-38
53059648192843,VV-VITA-341
53059648586059,VV-VITA-93
53059649339723,VV-VITA-277
53059649896779,VV-VITA-372
53059650191691,VV-VITA-342
53059650847051,VV-VITA-228
53059652059467,VV-VITA-383
53059652616523,VV-VITA-320
53059653042507,VV-VITA-387
53059654025547,VV-VITA-301
53204597014859,VV-ALO-06
53204701708619,VV-VITA-388
53470267539787,VV-VITA-307
53470267670859,VV-VITA-395
53473505673547,VV-VITA-02
53473584972107,VV-VITA-104
53689179996491,Dreamcatcher_Set_3
53719225237835,VV-VITA-105
53719225270603,VV-VITA-157
53719225958731,VV-VITA-389
53719226155339,VV-VITA-390
53719226188107,VV-VITA-391
53719226220875,VV-VITA-393
53719227072843,VV-VITA-394
55908484514123,General_Health_Set_3
55908491886923,Immune_System_Set_3
55908497752395,Vegan_Basics_Set_3
55908504699211,Digestion_Health_Set_3
55908608508235,Detox_Set_3
55908662313291,Hormonal_Blanace_Set_3
55908681515339,Menopause_Set
55908751081803,Active_Lifestyle_Set_3
55908754424139,Performance_Push_Set_3
55908762091851,Regeneration_Set_3
55908767105355,Energy_Set_3
55908787421515,Vitality_Set_3
55908796203339,Agility_Set_3
55908862034251,Mental_Focus_Set_3
55908910891339,Emotional_Balance_Set_3
55940622483787,Beauty_Set_3-0
55945386230091,VV-VITA-403
56054394028363,VV-VITA-408
56163621339467,VV-VITA-398
56164518461771,VV-VITA-402
56264852668747,VV-VITA-400
56264912863563,VV-VITA-411
56264958869835,VV-VITA-399
56350692835659,VV-VITA-407
56426266820939,VV-VITA-406
56445161603403,VV-VITA-405
56680971895115,VV-VITA-322
56680971993419,VV-VITA-294
56680972058955,VV-VITA-236
56680993849675,VV-VITA-332
56681049719115,VV-VITA-348
56681049948491,VV-VITA-335
56681301377355,VV-VITA-99
56753034559819,femtastic_set
56753088823627,Gut_Flora_Set
56753299980619,Daily_Vegan_Set
56753450025291,Everyday_Essentials_Set
56874683171147,VV-VITA-417
56874730783051,VV-VITA-410
56878213824843,VV-VITA-115
56916600619339,VV-VITA-412
56930844279115,Sunkissed-set
56971578999115,VV-VITA-413
56978078204235,VV-VITA-414
56978081579339,VV-VITA-415
57398467002699,xxxxx-variant-test
57399139893579,VV-VITA-106
57561266946379,VV-VITA-392
57561295421771,VV-VITA-401
57600376635723,VV-VITA-314
57621234155851,VV-VITA-266
57666999025995,VV-VITA-143
57775872639307,VV-VITA-274
57775872737611,VV-VITA-265
57775881781579,2R-49NC-R697
57775905177931,VV-VITA-409
57776130097483,VV-VITA-340
57776130425163,VV-VITA-370
57776130589003,VV-VITA-384
57776131113291,VV-VITA-227
57776131604811,VV-VITA-160
57776138256715,VV-VITA-360
57776140124491,VV-VITA-181
57776141238603,VV-VITA-333
57785453773131,VV-VITA-404
57800928002379,VV-VITA-347
