month,sku,net_sales,gross_sales,orders,net_items_sold
2025-07,UNKNOWN,43.8,43.8,1,2
2025-08,UNKNOWN,50.7,50.7,1,3
2025-09,UNKNOWN,3566.37,4000.56,122,209
2025-09,VV-VITA-223,2039.49,2354.96,60,103
2025-09,VV-VITA-197,1156.5,1467.75,3,61
2025-09,VV-VITA-243,1116.81,1330.72,29,59
2025-09,VV-VITA-320,1067.38,1206.99,38,50
2025-09,VV-VITA-231,923.35,970.48,20,37
2025-09,VV-VITA-228,835.4,905.45,35,41
2025-09,VV-VITA-355,782.86,801.31,19,35
2025-09,VV-VITA-172,768.97,1017.72,2,51
2025-09,VV-VITA-127,740.75,872.48,17,36
2025-09,VV-VITA-224,692.99,789.23,24,39
2025-09,VV-VITA-142,643.27,713.2,17,30
2025-09,VV-VITA-329,633.55,694.84,25,36
2025-09,VV-VITA-159,633.15,711.9,14,29
2025-09,VV-VITA-311,628.06,671.4,21,35
2025-09,TU-QNYD-JRRX,614.25,945,1,50
2025-09,BJ-E223-8EKW,578.2,615.69,17,23
2025-09,VV-VITA-364,546.88,555.57,18,26
2025-09,VV-VITA-310,521.31,580.15,13,25
2025-09,VV-VITA-50,500.37,621.81,13,32
2025-09,VV-VITA-247,486.78,552.44,9,27
2025-09,VV-VITA-146,484.73,564.94,11,30
2025-09,VV-VITA-259,469.21,533.49,12,21
2025-09,VV-VITA-198,462.87,560.99,11,29
2025-09,VV-VITA-287,455.38,490.47,16,24
2025-09,VV-VITA-122,434.68,465.53,16,22
2025-09,VV-VITA-124,420.51,437.38,12,18
2025-09,VV-VITA-158,409.88,432.21,12,15
2025-09,VV-VITA-276,403.08,443.08,11,18
2025-09,VV-VITA-93,360.63,377.53,11,22
2025-09,VV-VITA-31,351.5,394.2,9,18
2025-09,VV-VITA-354,342.47,354.08,8,16
2025-09,VV-VITA-203,340.68,362.21,14,19
2025-09,VV-VITA-249,338.19,406.3,4,17
2025-09,VV-VITA-86,337.04,341.95,10,16
2025-09,VV-VITA-237,331.91,384.21,11,20
2025-09,VV-VITA-222,326.74,333.91,14,14
2025-09,VV-VITA-165,326.63,332.08,9,12
2025-09,VV-VITA-352,322.09,339.67,12,15
2025-09,VV-VITA-225,320.08,333.66,10,16
2025-09,VV-VITA-173,305.19,317.92,12,17
2025-09,VV-VITA-151,304.3,353.77,9,15
2025-09,VV-VITA-208,293.53,398,4,20
2025-09,VV-VITA-367,287.84,311.4,14,17
2025-09,VV-VITA-256,284.66,284.66,10,13
2025-09,VV-VITA-361,283.74,304.09,13,17
2025-09,VV-VITA-57-V,281.25,326.61,5,9
2025-09,VV-VITA-381,276.7,284.15,13,18
2025-09,VV-VITA-301,271.29,297.6,13,16
2025-09,VV-VITA-49,256.95,322.84,12,17
2025-09,VV-VITA-94,251.06,269.43,8,10
2025-09,VV-VITA-171,245.36,275.98,8,10
2025-09,VV-VITA-155,243.66,249.93,8,12
2025-09,VV-VITA-63,243.23,258.45,9,12
2025-09,VV-VITA-116,243.21,287.08,10,16
2025-09,VV-VITA-46,229.19,261.39,7,13
2025-09,VV-VITA-257,211.89,211.89,5,8
2025-09,VV-VITA-38,204.88,209.25,12,13
2025-09,VV-VITA-248,197.73,249.32,10,9
2025-09,VV-VITA-121,191.51,205.51,8,10
2025-09,VV-VITA-313,184.56,184.56,7,9
2025-09,VV-VITA-338,183.87,193.82,9,10
2025-09,VV-VITA-363,183.65,190.98,9,12
2025-09,VV-VITA-202,175.03,175.03,5,10
2025-09,VV-VITA-298,174.36,230.46,5,10
2025-09,VV-VITA-308,171.97,193.33,8,8
2025-09,VV-VITA-186,167.71,172.89,5,7
2025-09,VV-VITA-230,164.97,174.86,6,7
2025-09,VV-VITA-88,164.26,169.04,5,7
2025-09,VV-VITA-358,163.38,182.28,6,9
2025-09,VV-VITA-387,159.33,170.56,4,6
2025-09,VV-VITA-206,152.61,167.68,6,9
2025-09,VV-VITA-317,152.42,154.45,6,8
2025-09,VV-VITA-345,151.8,156.38,6,7
2025-09,VV-VITA-106,150.64,206.8,5,9
2025-09,VV-ALO-06,142.34,165.43,7,8
2025-09,VV-VITA-376,137.77,144.41,7,9
2025-09,NX-CVPF-VCEZ,136.77,146.17,5,7
2025-09,VV-VITA-258,133.78,171.57,5,9
2025-09,CW-KVIN-V39Y,129.68,136.99,4,6
2025-09,VV-VITA-109,128.01,131.59,6,7
2025-09,VV-VITA-379,126.63,139.16,6,8
2025-09,VV-VITA-326,126.02,128.19,6,6
2025-09,VV-VITA-314,122.7,127.78,8,8
2025-09,VV-VITA-351,121.15,121.15,4,6
2025-09,VV-VITA-356,118.28,120.07,5,7
2025-09,VV-VITA-101,116.97,122.15,5,5
2025-09,VV-VITA-304,114.2,121.65,8,8
2025-09,VV-VITA-57-V2,112.88,117.79,4,5
2025-09,VV-VITA-359,112.72,134.55,3,7
2025-09,VI-ZU99-SZ0B,107.83,123.94,6,7
2025-09,VV-VITA-295,105.82,118.9,4,5
2025-09,VV-VITA-336,104.48,139.3,2,7
2025-09,VV-VITA-168,104.03,106.29,4,5
2025-09,VV-VITA-368,101.98,112.31,6,6
2025-09,VV-VITA-277,90.99,126.46,4,8
2025-09,VV-VITA-369,87.51,87.51,2,5
2025-09,VV-VITA-215,86.94,113.4,2,6
2025-09,VV-VITA-377,85.97,88.95,6,6
2025-09,VV-VITA-119,83.68,94.27,4,5
2025-09,VV-VITA-371,82.2,96.22,5,6
2025-09,VV-VITA-342,80.9,80.9,3,4
2025-09,CP-DQMG-RVN9,79.12,85.69,2,4
2025-09,VV-VITA-357,77.49,94.5,4,5
2025-09,VV-VITA-264,75.11,77.7,3,3
2025-09,VV-VITA-107,72.72,72.72,2,4
2025-09,VV-VITA-190,71.64,79.6,3,4
2025-09,VV-VITA-183,70.31,72.86,3,3
2025-09,VV-VITA-262,70.2,81.31,3,4
2025-09,VV-VITA-388,69.15,105.94,9,6
2025-09,VV-VITA-90,67.88,82.51,3,4
2025-09,VV-VITA-284,67.09,67.09,3,3
2025-09,VV-VITA-170,61.43,94.5,1,5
2025-09,VV-VITA-343,60.7,60.7,2,3
2025-09,VV-VITA-341,60.48,63.51,4,4
2025-09,VV-VITA-111,57.98,57.98,3,3
2025-09,VV-VITA-297,56.41,56.41,2,3
2025-09,VV-VITA-39,54.52,54.52,1,3
2025-09,VV-VITA-316,53.78,53.78,3,3
