month,sku,net_sales,units,cm1,cm2,cm3
2026-01,OD-MZWV-JBYL-Neu,55322.92,2123,44372.40,27000.42,27000.42
2026-01,98-VX35-DC63-Neu,46596.59,1478,36781.19,23594.39,23594.39
2026-01,OD-OAK8-N5TW-Neu,18809.58,708,15828.90,9943.75,9943.75
2026-01,A0-22PS-COWR,17265.31,778,14864.57,9135.65,9135.65
2026-01,CW-BID2-NFIP,16858.03,828,12805.73,6822.04,6822.04
2026-01,NB-49AE-8MWZ,7923.16,662,6016.60,2379.20,2379.20
2026-01,9G-B3KH-DDA0-Neu,3936.76,274,2754.67,1137.93,1137.93
2026-01,Immun-Intense-1er,3813.73,194,2794.69,1416.58,1416.58
2026-01,SKU-WT-WKPz,3395.42,117,3395.42,2370.26,2370.26
2026-01,FH-L1DD-WJN8,2035.14,92,2035.14,1656.30,1656.30
2026-01,Eisen-02-2025,0,0,0,16.72,16.72
2026-02,OD-MZWV-JBYL-Neu,57228.02,2211,45800.94,27950.25,27950.25
2026-02,98-VX35-DC63-Neu,38780.39,1214,30733.89,19543.96,19543.96
2026-02,OD-OAK8-N5TW-Neu,20439.77,775,17189.65,10793.50,10793.50
2026-02,CW-BID2-NFIP,13068.82,644,9927.92,5337.47,5337.47
2026-02,A0-22PS-COWR,12628.11,561,10911.98,6670.51,6670.51
2026-02,NB-49AE-8MWZ,5327.03,432,4082.87,1693.41,1693.41
2026-02,9G-B3KH-DDA0-Neu,4355.98,299,3078.63,1295.99,1295.99
2026-02,Immun-Intense-1er,3349.63,171,2457.31,1259.28,1259.28
2026-02,SKU-WT-WKPz,2687.04,92,2687.04,1884.68,1884.68
2026-03,OD-MZWV-JBYL-Neu,26997.94,1079,21434.62,12880.35,12880.35
2026-03,98-VX35-DC63-Neu,17443.63,574,13606.58,8614.63,8614.63
2026-03,OD-OAK8-N5TW-Neu,9061.64,364,7541.83,4658.82,4658.82
2026-03,A0-22PS-COWR,7401.31,337,6369.79,3894.80,3894.80
2026-03,CW-BID2-NFIP,6181.74,302,4701.94,2579.10,2579.10
2026-03,NB-49AE-8MWZ,2962.42,248,2251.06,890.39,890.39
2026-03,Immun-Intense-1er,1534.29,77,1127.73,597.90,597.90
2026-03,9G-B3KH-DDA0-Neu,1432.77,98,1008.43,411.35,411.35
2026-03,SKU-WT-WKPz,1008.70,36,1008.70,686.37,686.37
2026-03,Eisen-02-2025,0,0,-2.88,6.08,6.08
2026-03,FH-L1DD-WJN8,0,0,0,-16.45,-16.45
2026-04,OD-MZWV-JBYL-Neu,35330.95,1382,28187.73,17158.89,17158.89
2026-04,98-VX35-DC63-Neu,34567.26,1185,26706.96,16374.69,16374.69
2026-04,A0-22PS-COWR,13690.94,614,11812.10,7214.70,7214.70
2026-04,OD-OAK8-N5TW-Neu,12585.83,488,10535.56,6601.36,6601.36
2026-04,CW-BID2-NFIP,12116.43,594,9215.63,5021.13,5021.13
2026-04,NB-49AE-8MWZ,6541.45,531,5012.17,2092.97,2092.97
2026-04,Immun-Intense-1er,2158.13,106,1598.45,860.37,860.37
2026-04,9G-B3KH-DDA0-Neu,2032.96,138,1431.09,615.99,615.99
2026-04,SKU-WT-WKPz,1800.28,63,1800.28,1260.51,1260.51
2026-04,Eisen-02-2025,0,0,0,24.93,24.93
2026-05,OD-MZWV-JBYL-Neu,6359.61,247,5090.51,3051.75,3051.75
2026-05,98-VX35-DC63-Neu,5300.17,182,4089.87,2352.15,2352.15
2026-05,OD-OAK8-N5TW-Neu,2306.16,94,1914.63,1026.89,1026.89
2026-05,A0-22PS-COWR,1658.33,75,1428.08,775.99,775.99
2026-05,CW-BID2-NFIP,1111.54,63,797.94,247.08,247.08
2026-05,NB-49AE-8MWZ,930.04,77,708.28,27.77,27.77
2026-05,Immun-Intense-1er,505.88,28,358.04,-10.04,-10.04
2026-05,SKU-WT-WKPz,315.37,12,315.37,92.34,92.34
2026-05,9G-B3KH-DDA0-Neu,176.73,12,124.77,-92.74,-92.74
2026-05,Eisen-02-2025,0,0,0,-146.11,-146.11
2026-05,FH-L1DD-WJN8,0,0,0,-146.11,-146.11
2026-06,OD-OAK8-N5TW-Neu,597.12,24,496.08,159.26,159.26
2026-06,OD-MZWV-JBYL-Neu,186.25,9,139.63,41.60,41.60
2026-06,A0-22PS-COWR,106.19,6,87.77,-16.51,-16.51
2026-06,9G-B3KH-DDA0-Neu,0,0,0,-49.13,-49.13
2026-06,CW-BID2-NFIP,0,0,0,-32.77,-32.77
2026-06,Eisen-02-2025,0,0,0,1.60,1.60
2026-06,FH-L1DD-WJN8,0,0,0,-42.56,-42.56
2026-06,NB-49AE-8MWZ,0,0,0,-49.13,-49.13
2026-06,SKU-WT-WKPz,0,0,0,16.45,16.45
2026-06,Immun-Intense-1er,-22.41,0,-22.41,-68.85,-68.85
2026-06,98-VX35-DC63-Neu,-102.34,0,-102.34,-139.26,-139.26
